(63,4434053, 11,6626794),
(63,4435068, 11,6636673),
(63,4437352, 11,6681467),
(63,4438211, 11,6715791),
(63,4438624, 11,6731157),
(63,4439157, 11,6747051),
(63,4439404, 11,6751046),
(63,4432406, 11,6816585),
(63,4428205, 11,6823431),
(63,4423018, 11,6832130),
(63,4415266, 11,6849092),
(63,4408040, 11,6869785),
(63,4407455, 11,6871506),
(63,4407007, 11,6872820),
(63,4405901, 11,6875910),
(63,4403624, 11,6883561),
(63,4402839, 11,6886669),
(63,4395634, 11,6939491),
(63,4392335, 11,6974838),
(63,4390841, 11,6991135),
(63,4390077, 11,6998186),
(63,4381621, 11,7026957),
(63,4380282, 11,7029031),
(63,4374632, 11,7036968),
(63,4369233, 11,7044302),
(63,4360823, 11,7055866),
(63,4354547, 11,7064514),
(63,4334687, 11,7095488),
(63,4332606, 11,7102148),
(63,4332091, 11,7104420),
(63,4328409, 11,7122301),
(63,4327008, 11,7129253),
(63,4317199, 11,7177247),
(63,4311860, 11,7199811),
(63,4303477, 11,7234485),
(63,4303281, 11,7235283),
(63,4296198, 11,7263922),
(63,4292040, 11,7277490),
(63,4288403, 11,7285575),
(63,4287053, 11,7288096),
(63,4281300, 11,7297613),
(63,4263185, 11,7327403),
(63,4261171, 11,7330709),
(63,4257408, 11,7336949),
(63,4244342, 11,7343618),
(63,4236853, 11,7343178),
(63,4218572, 11,7347233),
(63,4199333, 11,7367216),
(63,4192294, 11,7376739),
(63,4191410, 11,7377948),
(63,4186836, 11,7384475),
(63,4185188, 11,7387268),
(63,4178509, 11,7398416),
(63,4174723, 11,7401875),
(63,4173184, 11,7402896),
(63,4145501, 11,7412013),
(63,4143018, 11,7418076),
(63,4140535, 11,7428610),
(63,4140003, 11,7430811),
(63,4135238, 11,7448347),
(63,4126372, 11,7465286),
(63,4104947, 11,7479560),
(63,4104196, 11,7479838),
(63,4091215, 11,7484903),
(63,4054435, 11,7581294),
(63,4053037, 11,7632966),
(63,4036199, 11,7705787),
(63,4031896, 11,7725217),
(63,4019274, 11,7755089),
(63,4014986, 11,7767691),
(63,4006665, 11,7798510),
(63,3992721, 11,7831928),
(63,3980597, 11,7872488),
(63,3979822, 11,7879306),
(63,3978704, 11,7927970),
(63,3975637, 11,7957452),
(63,3973781, 11,7975613),
(63,3973644, 11,7977267),
(63,3972432, 11,8002586),
(63,3971961, 11,8011141),
(63,3965135, 11,8041895),
(63,3961201, 11,8051845),
(63,3953823, 11,8077343),
(63,3952122, 11,8087164),
(63,3811509, 11,8656477),
(63,3791263, 11,8913338),
(63,3762763, 11,9093757),
(63,3703441, 11,9366716),
(63,3651596, 11,9602704),
(63,3645233, 11,9623073),
(63,3617120, 11,9713075),
(63,3578271, 11,9838025),
(63,3557308, 11,9905868),
(63,3478545, 12,0095982),
